,round,accuracy,alpha,repetition,alpha_norm
0,0,0.0399,1,3,0.0
1,1,0.2032,1,3,0.0
2,2,0.3325,1,3,0.0
3,3,0.3986,1,3,0.0
4,4,0.436,1,3,0.0
5,5,0.4539,1,3,0.0
6,6,0.4716,1,3,0.0
7,7,0.4894,1,3,0.0
8,8,0.4981,1,3,0.0
9,9,0.5041,1,3,0.0
10,10,0.5077,1,3,0.0
11,11,0.5086,1,3,0.0
12,12,0.5081,1,3,0.0
13,13,0.5134,1,3,0.0
14,14,0.5107,1,3,0.0
15,15,0.5057,1,3,0.0
16,16,0.5076,1,3,0.0
17,17,0.5052,1,3,0.0
18,18,0.5043,1,3,0.0
19,19,0.5042,1,3,0.0
20,20,0.5007,1,3,0.0
21,21,0.4994,1,3,0.0
22,22,0.4973,1,3,0.0
23,23,0.4973,1,3,0.0
24,24,0.4958,1,3,0.0
25,25,0.4894,1,3,0.0
26,26,0.4934,1,3,0.0
27,27,0.4881,1,3,0.0
28,28,0.4832,1,3,0.0
29,29,0.487,1,3,0.0
30,30,0.487,1,3,0.0
31,31,0.4877,1,3,0.0
32,32,0.4856,1,3,0.0
33,33,0.4854,1,3,0.0
34,34,0.4788,1,3,0.0
35,35,0.4832,1,3,0.0
36,36,0.4794,1,3,0.0
37,37,0.4792,1,3,0.0
38,38,0.4802,1,3,0.0
39,39,0.4791,1,3,0.0
40,40,0.4757,1,3,0.0
0,0,0.0499,1,1,0.0
1,1,0.1337,1,1,0.0
2,2,0.3185,1,1,0.0
3,3,0.4025,1,1,0.0
4,4,0.4396,1,1,0.0
5,5,0.4594,1,1,0.0
6,6,0.4795,1,1,0.0
7,7,0.4873,1,1,0.0
8,8,0.4938,1,1,0.0
9,9,0.5002,1,1,0.0
10,10,0.5112,1,1,0.0
11,11,0.5075,1,1,0.0
12,12,0.508,1,1,0.0
13,13,0.5061,1,1,0.0
14,14,0.5061,1,1,0.0
15,15,0.5069,1,1,0.0
16,16,0.5073,1,1,0.0
17,17,0.5053,1,1,0.0
18,18,0.5043,1,1,0.0
19,19,0.5074,1,1,0.0
20,20,0.4957,1,1,0.0
